x,y,boh,name
3.7,78.2,24,hybapr
3.7,108,230,poular
3.7,125.8,30,faraoc
3.7,167,254,simaam
3.7,207.2,51,maquco
3.7,323.9,21,swars2
3.7,345.2,96,oenoma
3.7,358.5,21,hybapr
3.7,359.6,14,hybapr
3.7,373.7,24,des2pa
3.7,474.2,129,socrex
3.75,126.23,11,alsebl
3.79,110.62,17,guargu
3.8,37.8,24,faraoc
3.8,76.2,16,ormoma
3.8,122.7,13,des2pa
3.8,181.05,11,gar2in
3.8,181.6,41,hybapr
3.8,190.8,90,simaam
3.8,211.1,-1,cupasy
3.8,264.9,18,beilpe
3.8,322,-1,nectpu
3.8,333.7,-1,swars2
3.8,385.1,16,laetth
3.8,386,49,tet2pa
3.8,429.1,-1,rinosy
3.8,442.7,14,cappfr
3.8,493.6,19,alsebl
3.8,498.6,-1,guargu
3.8,499.8,55,alsebl
3.84,142.38,14,sipapa
3.84,205.17,21,protpa
3.86,64.37,123,cecrin
3.86,86.6,15,des2pa
3.86,254.4,12,calolo
3.89,307.82,10,faraoc
3.9,15.26,22,calolo
3.9,20.8,11,malmsp
3.9,49.2,69,guarsp
3.9,65.2,257,chr2ar
3.9,142.9,17,cupasy
3.9,224.2,70,faraoc
3.9,234.6,95,oenoma
3.9,245.9,38,hybapr
3.9,282.2,-1,swars2
3.9,317,65,hirttr
3.9,445.1,15,gar2in
3.9,472.4,32,cordla
3.9,476.4,31,hybapr
3.9,480.2,44,hybapr
3.9,487.5,14,hybapr
3.9,495.3,36,eugeoe
3.91,242.26,24,micone
3.93,287.65,24,annosp
3.94,108.06,10,picrla
3.95,309.32,12,hybapr
3.96,191.2,10,hybapr
3.96,286.6,14,gar2in
3.97,472.81,12,rinosy
3.99,401.96,12,hybapr
4,31.1,67,faraoc
4,124.9,53,cordla
4,127.6,37,protpa
4,132.8,44,hybapr
4,133.3,24,hybapr
4,137.1,80,brosal
4,181.8,34,faraoc
4,226.1,-1,nectci
4,230.9,17,nectci
4,256.6,24,tri2tu
4,257.7,19,gar2in
4,259.5,90,calolo
4,359.1,17,hybapr
4,362,47,swars2
4,380.2,21,hybapr
4,383.9,20,des2pa
4,389.7,39,faraoc
4,413.6,-1,cupasy
4,414.5,20,hybapr
4,452,35,hybapr
4,459,53,faraoc
4,466,20,alsebl
4,482.6,229,eugeoe
4,495.2,40,cou2cu
4.01,492.15,12,hybapr
