x,y,name
398.5,177.2,tri2tu
389.2,166.9,ceibpe
387.7,163.8,alsebl
388.9,165.5,pri2co
386.3,171.2,tri2tu
381.2,162.0,tri2tu
399.0,158.2,tri2tu
394.9,150.3,tri2tu
398.5,144.3,ast2gr
398.9,141.5,eugene
391.9,144.6,tet2pa
382.1,148.7,tri2tu
390.4,144.6,pla1pi
386.2,144.0,alsebl
394.0,135.8,alsebl
398.3,128.3,heisco
395.7,122.2,alsebl
386.7,117.5,alchco
390.0,110.9,apeime
392.6,117.3,gustsu
381.5,101.7,alsebl
391.5,103.0,simaam
393.9,88.0,tet2pa
394.4,84.0,pri2co
397.3,81.8,brosal
385.4,94.7,alsebl
383.8,74.2,guapst
391.1,73.4,tri2tu
394.8,70.5,pri2co
398.3,72.8,quaras
390.9,63.1,quaras
383.0,67.2,ade1tr
394.8,55.5,virose
386.2,53.7,virose
388.3,49.7,alsebl
392.2,44.7,alsebl
385.5,41.5,gustsu
393.6,38.7,apeime
385.0,31.3,tri2tu
393.3,27.0,tet2pa
385.6,19.2,pri2co
397.1,16.1,huracr
395.4,14.9,hirttr
391.2,11.9,tratas
393.8,9.2,poular
391.5,6.3,tri2tu
367.4,3.7,cordbi
377.5,10.8,tab2ar
369.7,19.7,gustsu
376.5,23.6,chr2ar
376.6,29.3,pri2co
368.2,31.0,sponra
369.8,29.1,virose
369.3,43.8,gustsu
372.6,41.3,quaras
376.1,55.8,ade1tr
376.0,60.9,tri2tu
370.8,66.2,poular
369.0,63.1,poutre
364.3,72.5,pri2co
375.4,71.5,tachve
378.9,66.3,pri2co
373.2,81.7,poutre
368.4,83.4,turpoc
362.1,80.3,poular
360.8,99.9,tri2tu
373.2,98.3,luehse
375.9,92.9,sch1zo
375.9,90.3,alsebl
458.6,310.5,virose
365.9,110.7,tet2pa
375.1,105.4,heisco
372.5,119.1,jac1co
367.4,119.1,jac1co
364.6,120.4,tet2pa
362.5,118.7,loncla
376.0,121.2,pri2co
369.8,125.3,loncla
373.8,153.7,laciag
363.2,153.4,alsebl
368.5,159.6,quaras
378.1,163.2,heisco
376.5,166.3,pri2co
369.9,166.4,poutst
361.1,161.3,tet2pa
363.2,170.2,tri2tu
374.9,177.5,heisco
379.0,175.5,tri2tu
374.0,190.2,tri2tu
360.3,210.8,tet2pa
364.2,217.3,tri2tu
371.1,208.7,tet2pa
363.6,218.5,tri2tu
363.1,230.5,hyeral
364.9,230.2,tri2tu
372.9,223.1,tri2tu
372.8,225.2,tet2pa
