name,x,y
ACTINI,419.61,158.26
ACTINI,404.39,129.37
ACTINI,417.97,26.97
ACTINI,409.49,28.88
ACTINI,402.68,25.59
ACTINI,413.09,19.27
ACTINI,418.62,18.68
ACTINI,394.53,438.99
ACTINI,387.4,331.54
ACTINI,390.71,247.58
ACTINI,390.55,208.89
ACTINI,397.27,214.95
ACTINI,381.33,189.58
ACTINI,381.71,181.53
ACTINI,386.92,131.27
ACTINI,390.14,95.03
ACTINI,379.87,494.54
ACTINI,364.96,473.66
ACTINI,367.66,446.74
ACTINI,361.67,207.79
ACTINI,373.91,195.01
ACTINI,379.61,178.53
ACTINI,379.77,178.66
ACTINI,360.74,24.74
ACTINI,351.23,466.18
ACTINI,353.96,446.23
ACTINI,350.57,422.53
ACTINI,348.36,372.73
ACTINI,340.75,369.08
ACTINI,344.11,288.53
ACTINI,359.81,204.43
ACTINI,348.71,201.9
ACTINI,351.46,179.17
ACTINI,343.15,172.17
ACTINI,349.73,172.54
ACTINI,356.83,15.52
ACTINI,351.99,15.53
ACTINI,334.13,467.52
ACTINI,337.92,455.9
ACTINI,338.3,300.93
ACTINI,325.45,199.4
ACTINI,339.14,178.76
ACTINI,325.2,131.75
ACTINI,321.45,3.61
ACTINI,311.11,485.98
ACTINI,300.52,482.24
ACTINI,309.39,482.14
ACTINI,313.43,445.84
ACTINI,311.7,439.26
ACTINI,307.88,429.39
ACTINI,316.06,382.88
ACTINI,316.39,373.36
ACTINI,317.61,366.55
ACTINI,316.72,319.65
ACTINI,317.45,176.9
ACTINI,318.91,172.65
ACTINI,304.93,144.07
ACTINI,313.35,121.19
ACTINI,288.25,485.93
ACTINI,284.18,480.65
ACTINI,290.85,386.74
ACTINI,288.0,385.5
ACTINI,282.61,193.78
ACTINI,281.26,144.85
ACTINI,268.41,493.56
ACTINI,269.29,497.15
ACTINI,260.23,399.48
ACTINI,266.11,192.33
ACTINI,268.27,162.88
ACTINI,269.61,44.28
ACTINI,258.95,455.21
ACTINI,256.4,405.12
ACTINI,254.92,407.79
ACTINI,252.32,408.36
ACTINI,257.97,409.66
ACTINI,259.07,412.25
ACTINI,259.24,397.86
ACTINI,243.54,276.16
ACTINI,248.76,187.32
ACTINI,245.05,137.22
ACTINI,245.78,88.36
ACTINI,245.32,94.23
ACTINI,253.29,82.15
ACTINI,252.04,75.97
ACTINI,226.77,489.67
ACTINI,229.28,487.9
ACTINI,226.82,433.12
ACTINI,238.19,428.22
ACTINI,230.65,426.8
ACTINI,228.09,423.74
ACTINI,232.99,401.67
ACTINI,235.39,387.96
ACTINI,226.78,324.59
ACTINI,229.15,331.72
ACTINI,236.1,318.04
ACTINI,229.59,64.53
ACTINI,200.03,483.57
ACTINI,208.76,491.82
ACTINI,203.86,491.6
ACTINI,217.41,486.01
ACTINI,201.35,486.07
ACTINI,205.54,480.63
ACTINI,218.52,479.09
ACTINI,213.4,460.99
ACTINI,214.97,479.84
ACTINI,202.0,476.8
ACTINI,201.32,462.16
ACTINI,214.21,446.88
ACTINI,205.2,400.88
ACTINI,218.07,368.39
ACTINI,213.96,290.96
ACTINI,200.61,242.62
ACTINI,206.54,34.26
ACTINI,199.52,480.99
ACTINI,187.13,489.98
ACTINI,196.23,480.95
ACTINI,182.61,488.9
ACTINI,192.58,490.99
ACTINI,183.97,499.39
ACTINI,183.26,497.86
ACTINI,189.72,497.61
ACTINI,191.43,394.03
ACTINI,192.12,399.36
ACTINI,180.91,126.65
ACTINI,182.81,124.04
ACTINI,196.53,129.15
ACTINI,199.06,32.04
ACTINI,176.96,489.66
ACTINI,175.5,498.23
ACTINI,171.64,484.16
ACTINI,165.12,476.33
ACTINI,161.4,389.32
ACTINI,175.95,382.13
ACTINI,176.16,390.28
ACTINI,168.22,369.3
ACTINI,163.35,379.65
ACTINI,160.34,374.23
ACTINI,174.15,374.45
ACTINI,163.29,360.06
ACTINI,178.51,357.17
ACTINI,179.52,309.4
ACTINI,166.65,259.87
ACTINI,168.92,206.13
ACTINI,170.86,174.54
ACTINI,163.99,44.97
ACTINI,171.42,43.44
ACTINI,176.77,49.53
ACTINI,153.83,484.91
ACTINI,153.7,487.53
ACTINI,151.9,487.96
ACTINI,144.95,429.17
ACTINI,154.46,370.67
ACTINI,148.92,371.92
ACTINI,148.66,368.39
ACTINI,147.18,376.54
ACTINI,147.51,376.57
ACTINI,152.74,377.16
ACTINI,142.97,339.68
ACTINI,144.88,294.6
ACTINI,140.74,261.55
ACTINI,153.82,272.66
ACTINI,152.55,251.16
ACTINI,152.21,224.9
ACTINI,150.81,218.22
